agreement_inv,18100
view_justification_continuous_inv,18101
committed_blocks_have_justification_inv,18102
no_proposal_equivocation_inv,18103
no_commit_equivocation_inv,18104
no_timeout_equivocation_inv,18105
no_new_view_equivocation_inv,18106
store_signed_commit_all_inv,18107
store_signed_timeout_all_inv,18108
view_justification_inv,18109
justification_is_supported_inv,18110
one_high_vote_in_timeout_qc_inv,18111
one_commit_quorum_inv,18112
all_replicas_high_commit_qc_inv,18113
all_replicas_high_timeout_qc_inv,18114
all_replicas_high_vote_inv,18115
msgs_signed_timeout_inv,18116
msgs_signed_commit_inv,18117
timeout_high_vote_is_highest_inv,18118
